median_stud-stud,median_stud-stud_value,min_stud-prof,min_stud-prof_value,max_overall,max_overall_value
stud-stud,0.00,stud-prof,100.00,overall,100.00
stud-stud,0.00,stud-prof,84.21,overall,89.47
stud-stud,0.00,stud-prof,55.00,overall,80.00
stud-stud,0.00,stud-prof,0.00,overall,50.00
stud-stud,0.00,stud-prof,0.00,overall,41.18
stud-stud,0.00,stud-prof,0.00,overall,46.67
stud-stud,0.00,stud-prof,0.00,overall,50.00
stud-stud,0.00,stud-prof,0.00,overall,50.00
stud-stud,0.00,stud-prof,0.00,overall,41.18
stud-stud,0.00,stud-prof,0.00,overall,55.56
stud-stud,0.00,stud-prof,0.00,overall,66.67
stud-stud,0.00,stud-prof,0.00,overall,66.67
stud-stud,0.00,stud-prof,0.00,overall,55.56
stud-stud,0.00,stud-prof,0.00,overall,44.44
stud-stud,0.00,stud-prof,0.00,overall,41.18
stud-stud,0.00,stud-prof,0.00,overall,41.18
stud-stud,15.79,stud-prof,0.00,overall,57.89
stud-stud,11.76,stud-prof,0.00,overall,52.94
stud-stud,5.88,stud-prof,0.00,overall,52.94
stud-stud,11.11,stud-prof,0.00,overall,55.56
stud-stud,20.00,stud-prof,0.00,overall,50.00
stud-stud,80.00,stud-prof,0.00,overall,80.00
stud-stud,33.33,stud-prof,60.00,overall,86.67
stud-stud,31.58,stud-prof,47.37,overall,89.47
stud-stud,45.00,stud-prof,35.00,overall,80.00
stud-stud,85.71,stud-prof,0.00,overall,100.00
stud-stud,66.67,stud-prof,22.22,overall,100.00
stud-stud,77.78,stud-prof,11.11,overall,100.00
stud-stud,89.47,stud-prof,0.00,overall,100.00
stud-stud,95.00,stud-prof,0.00,overall,100.00
stud-stud,90.00,stud-prof,0.00,overall,100.00
stud-stud,89.47,stud-prof,0.00,overall,100.00
stud-stud,84.21,stud-prof,0.00,overall,89.47
stud-stud,70.59,stud-prof,0.00,overall,100.00
stud-stud,72.22,stud-prof,0.00,overall,100.00
stud-stud,70.59,stud-prof,0.00,overall,100.00
stud-stud,76.47,stud-prof,0.00,overall,100.00
stud-stud,75.00,stud-prof,0.00,overall,100.00
stud-stud,64.29,stud-prof,0.00,overall,100.00
stud-stud,64.29,stud-prof,0.00,overall,100.00
stud-stud,64.29,stud-prof,0.00,overall,100.00
stud-stud,68.75,stud-prof,0.00,overall,100.00
stud-stud,75.00,stud-prof,0.00,overall,100.00
stud-stud,75.00,stud-prof,0.00,overall,100.00
stud-stud,68.75,stud-prof,0.00,overall,100.00
stud-stud,73.33,stud-prof,0.00,overall,100.00
stud-stud,77.78,stud-prof,0.00,overall,100.00
stud-stud,76.47,stud-prof,0.00,overall,100.00
stud-stud,71.43,stud-prof,0.00,overall,100.00
stud-stud,80.00,stud-prof,0.00,overall,80.00
